@relation userId_ratingsCount_sotedById

@attribute user_id numeric
@attribute ratings_count numeric

@data
1333, 2982
3321, 4395
3998, 2225
5980, 2107
10268, 2799
10374, 2637
10679, 2479
11043, 2911
12812, 2558
16272, 5900
16273, 2630
17864, 2446
21823, 2883
27061, 2559
43530, 2106
43751, 2266
46650, 2253
48607, 2384
49585, 2382
49890, 3295
53694, 2602
55339, 2230
57186, 2748
57633, 5736
66109, 2679
70476, 2211
71594, 3803
71743, 2607
74320, 2603
74441, 3682
75976, 2946
76196, 2805
78404, 3153
91234, 2299
97578, 2390
97893, 2622
101807, 2983
107776, 2371
108936, 2306
109177, 2117
110938, 2587
111033, 2629
111086, 2337
121182, 3444
122197, 2696
125296, 2555
128311, 2279
128389, 2310
136477, 2437
138835, 2393
147386, 3868
151004, 2571
151153, 2092
151821, 2608
152858, 2139
154669, 2154
155342, 2581
157667, 3090
159159, 3256
165247, 2578
165374, 2322
166041, 3379
168523, 2106
170248, 2602
170551, 2384
178860, 3277
182203, 2414
184705, 4436
184888, 2119
187896, 2499
188613, 3216
189887, 2284
194528, 2217
197101, 2095
199257, 3233
199435, 2723
200255, 2564
200427, 2267
200805, 2294
206893, 2556
219888, 2249
221926, 2917
224795, 2386
227799, 2121
230112, 3265
230265, 2444
232877, 2451
235789, 3687
236160, 2176
237263, 3171
238740, 3987
240748, 2489
240923, 2697
241634, 2494
242681, 2151
243612, 2992
247794, 2210
248904, 2278
250509, 2191
256676, 2283
257622, 2690
262411, 2108
265257, 2257
272840, 2648
275600, 2299
277837, 2682
279966, 2289
282654, 2390
282887, 2334
285174, 2662
286684, 2321
287566, 2173
290700, 2195
290916, 2482
302344, 2751
303948, 6074
305344, 17653
306466, 2299
306569, 3256
307427, 2982
309424, 2190
310887, 2500
315168, 2123
316155, 3442
317779, 2157
318409, 2166
319058, 4170
320314, 3085
320856, 2453
322009, 5611
325073, 2759
325844, 2169
326356, 2569
327122, 2628
328212, 2125
329958, 2946
332300, 2105
332698, 2715
334643, 2346
340479, 2721
341649, 3983
342510, 2337
347276, 2136
348960, 2144
349331, 2120
349572, 2634
356615, 2766
360005, 2146
361886, 2508
364749, 2715
366233, 2134
371701, 2485
374741, 2380
377937, 2245
380505, 2585
383451, 2778
386947, 3240
387418, 17436
388514, 2168
391521, 2103
394895, 3570
397212, 3648
399971, 2581
400440, 2665
401047, 2119
402266, 3826
403915, 2255
407037, 2762
407877, 2130
408457, 2765
408645, 2199
411290, 3435
411512, 2352
411705, 3170
414536, 2794
416560, 2321
427186, 2226
428688, 2503
429260, 2746
431326, 2265
432259, 2164
437586, 2334
438340, 3012
441361, 2212
442963, 2137
447759, 4004
452299, 2214
452667, 2514
455024, 2401
461075, 3164
461110, 2489
462171, 2814
467182, 2622
472734, 2294
476695, 2374
478176, 2528
485601, 2459
486798, 2096
490057, 2613
491331, 2381
491513, 2591
491531, 7257
492291, 2451
499257, 2560
503235, 3062
504211, 2245
504440, 2726
504620, 4558
507094, 3513
507603, 6703
507921, 2169
510834, 2207
511883, 2116
511899, 2141
515436, 2402
515441, 2179
517441, 2217
518137, 3242
522180, 2428
524142, 2972
524295, 2328
525071, 2356
525356, 4913
530789, 4726
545026, 2103
549534, 2688
551208, 2250
554137, 2225
555528, 4009
567705, 2385
567875, 2185
572481, 2170
574834, 2933
575714, 2684
576990, 2849
578191, 2731
580231, 2171
581952, 2095
589682, 2712
594196, 2901
595778, 4069
595870, 2606
596255, 2180
596995, 2338
601317, 2729
603277, 3350
603543, 2488
608234, 3118
608538, 2127
612111, 2377
620010, 2973
620741, 2544
624388, 2632
629389, 3164
635056, 2176
636262, 4748
637266, 2207
638020, 3473
642384, 2951
647979, 4049
651230, 2825
651541, 2427
652618, 2107
655385, 3118
655601, 2307
659526, 2410
663118, 3030
670416, 2184
670488, 2712
682963, 5150
683254, 2281
684531, 3108
684876, 3383
685565, 2474
686204, 2142
686510, 2574
689488, 2139
691808, 3094
700490, 2165
701443, 2405
701962, 2250
702403, 2357
706832, 2555
716091, 2116
716173, 6736
716874, 3376
717542, 2602
720503, 2253
722591, 4098
723448, 2408
727242, 6997
732363, 3171
743633, 3493
748141, 2288
752642, 7481
752853, 2654
753107, 2735
753231, 2490
754161, 2715
758383, 2390
759737, 2456
760481, 2342
764785, 2469
768876, 2545
769702, 3877
774602, 2293
775020, 2726
778615, 2171
779811, 2463
780768, 2280
785992, 2568
786312, 4762
789014, 4579
789969, 3671
794999, 5099
798296, 6740
817339, 2436
818752, 4179
819314, 2282
823802, 2632
825353, 3372
825819, 2939
826184, 2304
826270, 2219
826696, 2548
827240, 2102
828344, 2153
828349, 2411
828444, 2339
830370, 2722
831103, 2708
832780, 2521
835265, 2953
835353, 2506
835847, 2225
837133, 2969
838130, 2100
844028, 3432
844049, 2095
847313, 2123
860520, 2672
862040, 2250
862596, 4100
864172, 3279
864647, 2273
867311, 2319
872408, 2360
873713, 3406
877394, 2589
879760, 2483
883478, 3222
885386, 2365
890573, 2324
892694, 2136
893014, 2857
894205, 2113
901520, 3132
904391, 2193
908205, 3348
920932, 2201
922551, 2591
922812, 2286
922922, 2301
923517, 2273
923631, 2966
924960, 2280
929308, 3373
929407, 2609
935732, 2133
936093, 2137
940516, 2202
942523, 2423
946380, 2581
952063, 3122
952156, 4327
952582, 2204
953110, 2393
953604, 2291
954742, 2593
956229, 2280
958687, 3393
962019, 2551
962151, 2175
965104, 2345
968184, 2489
973313, 2350
974174, 2443
